school,major,degree,post_grad_earnings
Alabama A & M University,"Computer and Information Sciences, General.",Bachelor's Degree,85218.0
University of Alabama at Birmingham,"Computer and Information Sciences, General.",Bachelor's Degree,101625.0
University of Alabama at Birmingham,Management Information Systems and Services.,Bachelor's Degree,74931.0
University of Alabama at Birmingham,Management Information Systems and Services.,Master's Degree,111404.0
University of Alabama in Huntsville,"Computer and Information Sciences, General.",Bachelor's Degree,81623.0
University of Alabama in Huntsville,Management Information Systems and Services.,Bachelor's Degree,83727.0
Alabama State University,Information Science/Studies.,Bachelor's Degree,45185.0
The University of Alabama,"Computer and Information Sciences, General.",Bachelor's Degree,102009.0
The University of Alabama,Management Information Systems and Services.,Bachelor's Degree,110434.0
Athens State University,"Computer and Information Sciences, General.",Bachelor's Degree,90135.0
Auburn University at Montgomery,Management Information Systems and Services.,Bachelor's Degree,53248.0
Auburn University,"Computer and Information Sciences, General.",Bachelor's Degree,104342.0
Auburn University,Computer Engineering.,Bachelor's Degree,98999.0
Auburn University,Management Information Systems and Services.,Master's Degree,117240.0
South University-Montgomery,Information Science/Studies.,Bachelor's Degree,67229.0
South University-Montgomery,Information Science/Studies.,Master's Degree,88529.0
Herzing University-Birmingham,Computer Programming.,Bachelor's Degree,82894.0
Herzing University-Birmingham,Computer Systems Networking and Telecommunications.,Undergraduate Certificate or Diploma,53940.0
Herzing University-Birmingham,Computer Systems Networking and Telecommunications.,Associate's Degree,50860.0
Herzing University-Birmingham,Computer/Information Technology Administration and Management.,Bachelor's Degree,70181.0
Jacksonville State University,"Computer and Information Sciences, General.",Bachelor's Degree,65546.0
Jefferson State Community College,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,54123.0
Jefferson State Community College,"Engineering Technology, General.",Undergraduate Certificate or Diploma,60202.0
Jefferson State Community College,"Engineering Technology, General.",Associate's Degree,61350.0
John C Calhoun State Community College,"Computer and Information Sciences, General.",Associate's Degree,39872.0
Lurleen B Wallace Community College,Electrical/Electronics Maintenance and Repair Technology.,Associate's Degree,72829.0
University of North Alabama,Management Information Systems and Services.,Bachelor's Degree,50512.0
Shelton State Community College,Electrical/Electronics Maintenance and Repair Technology.,Associate's Degree,91537.0
Snead State Community College,"Computer and Information Sciences, General.",Associate's Degree,33121.0
University of South Alabama,"Computer and Information Sciences, General.",Bachelor's Degree,94533.0
University of South Alabama,"Computer and Information Sciences, General.",Master's Degree,83267.0
University of South Alabama,Information Science/Studies.,Bachelor's Degree,75104.0
University of South Alabama,Computer Science.,Bachelor's Degree,84922.0
Troy University,"Computer and Information Sciences, General.",Bachelor's Degree,66404.0
Tuskegee University,Architectural Sciences and Technology.,Bachelor's Degree,60222.0
